Id,Name,Date established,Date ceased,Function,Committee type,Earlier committees,Later committees
C018,Social Welfare,2/03/1976,5/06/1987,"The Standing Committee on Social Welfare conducted landmark inquiries into drug and alcohol issues and the administration of government social services programs. It also inquired into social matters including a national superannuation scheme, children in institutional care, homeless youth and income support for the retired and aged.",Legislative and General Purpose Standing,C017,C019
C019,Community Affairs,22/09/1987,9/10/1994,"The Standing Committee on Community Affairs monitored the administration of various government portfolios and inquired into and reported on matters referred to it by the Senate in areas including health, housing, local government, community services, social security, women's affairs and veterans' affairs.",Legislative and General Purpose Standing,C018,"C020,C021"
C020,Community Affairs,10/10/1994,10/09/2006,"The Community Affairs Legislation Committee examined legislation referred to it by the Senate, scrutinised proposed expenditure and monitored the administration and annual reports of government portfolios including family and community services, health, ageing, social security and Indigenous affairs.",Legislation,C019,C022
C021,Community Affairs,10/10/1994,10/09/2006,"The Community Affairs References Committee examined matters referred to it by the Senate relating to government portfolios including family and community services, health, ageing, social security and Indigenous affairs.",References,C019,C022
C022,Community Affairs,11/09/2006,13/05/2009,"The Standing Committee on Community Affairs inquired into and reported on policy matters, bills, estimates, annual reports and the performance of government departments and agencies in portfolios including health and ageing, family and community services and Indigenous affairs.",Legislative and General Purpose Standing,"C020,C021","C023,C024"
C023,Community Affairs,14/05/2009,,"The Legislation Committee examines bills referred to it by the Senate, scrutinises proposed government expenditure and oversees the performance of government departments and agencies, including their annual reports. Portfolios allocated to the committee since 2009 include health, ageing, families, housing, Indigenous affairs, human services and social services.",Legislation,C022,""
C024,Community Affairs,14/05/2009,,"The Community Affairs References Committee inquires into and reports upon matters referred to it by the Senate. Portfolios allocated to the committee since 2009 include health, ageing, families, housing, Indigenous affairs, human services and social services.",References,C022,""
C025,Economics,10/10/1994,10/09/2006,"The Economics Legislation Committee examined legislation referred to it by the Senate, scrutinised proposed annual and additional expenditure and monitored the administration and annual reports of government portfolios including Treasurer, industry, science, technology, industrial relations, tourism and resources.",Legislation,"",C027
C026,Economics,10/10/1994,10/09/2006,"The Economics References Committee examined matters referred to it by the Senate relating to government portfolios including Treasurer, industry, science, technology, industrial relations, tourism and resources.",References,"",C027
C027,Economics,11/09/2006,13/05/2009,"The Standing Committee on Economics inquired into and reported on policy matters, bills, estimates, annual reports and the performance of government departments and agencies in portfolios including Treasury, industry, tourism and resources.",Legislative and General Purpose Standing,"C025,C026","C028,C029"
C028,Economics,14/05/2009,,"The Economics Legislation Committee examines bills referred to it by the Senate, scrutinises proposed government expenditure and oversees the performance of government departments and agencies, including their annual reports. Portfolios allocated to the committee since 2009 include industry, innovation, science, research, resources, energy, tourism and Treasury.",Legislation,C027,""
C029,Economics,14/05/2009,,"The Economics References Committee inquires into and reports upon matters referred to it by the Senate. Portfolios allocated to the committee since 2009 include industry, innovation, science, research, resources, energy, tourism and Treasury.",References,C027,""
C030,"Education, Science and the Arts",11/06/1970,11/11/1975,"The Standing Committee on Education, Science and the Arts focused primarily on education and issues associated with broadcasting and television in Australia.",Legislative and General Purpose Standing,"","C031,C045"
C031,Education and the Arts,2/03/1976,5/06/1987,"The Standing Committee on Education and the Arts conducted inquiries into policy and proposed legislation and examined annual reports in the areas of education, employment, broadcasting and culture.",Legislative and General Purpose Standing,C030,"C032,C047,C164"
C032,"Employment, Education and Training",22/09/1987, 9/10/1994,"The Standing Committee on Employment, Education and Training inquired into and reported on matters referred to it by the Senate, and monitored the administration of various government portfolios including employment, education, training and industrial relations.",Legislative and General Purpose Standing,C031,"C033,C034"
C033,"Employment, Education and Training",10/10/1994,10/11/1998,"The Legislation Committee examined bills referred to it by the Senate, scrutinised proposed expenditure and monitored the administration and annual reports of government portfolios including employment, education, training and youth affairs.",Legislation,C032,C035
C034,"Employment, Education and Training",10/10/1994,10/11/1998,"The References Committee examined matters referred to it by the Senate relating to government portfolios including employment, education, training and youth affairs.",References,C032,C036
C035,"Employment, Workplace Relations, Small Business and Education",11/11/1998,12/02/2002,"The Legislation Committee inquired into and reported on bills, estimates, annual reports and the performance of government departments and agencies in portfolios including education, training, youth affairs, employment, workplace relations and small business.",Legislation,C033,C037
C036,"Employment, Workplace Relations, Small Business and Education",11/11/1998,12/02/2002,"The References Committee inquired into and reported to the Senate on policy issues relating to portfolio areas including education, training, youth affairs, employment, workplace relations and small business.",References,C034,C038
C037,"Employment, Workplace Relations and Education",13/02/2002,10/09/2006,"The Legislation Committee inquired into and reported on bills, estimates, annual reports and the performance of government departments and agencies in portfolios including education, science, training, employment and workplace relations.",Legislation,C035,C039
C038,"Employment, Workplace Relations and Education",13/02/2002,10/09/2006,"The References Committee inquired into and reported to the Senate on policy issues relating to portfolio areas including education, science, training, employment and workplace relations.",References,C036,C039
C039,"Employment, Workplace Relations and Education",11/09/2006,11/02/2008,"The standing committee inquired into and reported on policy matters, bills, estimates, annual reports and the performance of government departments and agencies in portfolios including education, science, training, employment and workplace relations.",Legislative and General Purpose Standing,"C037,C038",C040
C040,"Education, Employment and Workplace Relations",13/02/2008,13/05/2009,"The standing committee inquired into and reported on policy matters, bills, estimates, annual reports and the performance of government departments and agencies in portfolios including education, employment and workplace relations.",Legislative and General Purpose Standing,C039,"C041,C042"
C041,"Education, Employment and Workplace Relations",14/05/2009,11/11/2013,"The Legislation Committee examined bills referred to it by the Senate, scrutinised proposed annual and additional government expenditure and oversaw the performance of government departments and agencies, including their annual reports. Portfolios allocated to the committee included education, employment and workplace relations.",Legislation,C040,C043
C042,"Education, Employment and Workplace Relations",14/05/2009,11/11/2013,"The References Committee examined matters referred to it by the Senate relating to government portfolios including education, employment and workplace relations.",References,C040,C044
C043,Education and Employment,13/11/2013,,"The Legislation Committee examines bills referred to it by the Senate, scrutinises proposed annual and additional government expenditure and oversees the performance of government departments and agencies, including their annual reports. Portfolios allocated to the committee since 2013 include education, employment, training, jobs and small business.",Legislation,C041,""
C044,Education and Employment,13/11/2013,,"The References Committee inquires into and reports upon various general matters referred to it by the Senate. Portfolios allocated to the committee since 2013 include education, employment, training, jobs and small business.",References,C042,""
C045,Science and the Environment,2/03/1976,4/02/1983,The standing committee examined annual reports of government agencies charged with science and environment portfolios and conducted general inquiries on subjects including natural resources and the effects of pollution on the environment and human health.,Legislative and General Purpose Standing,"C016,C030",C046
C046,"Science, Technology and the Environment",2/06/1983,5/06/1987,"The standing committee examined annual reports of relevant government agencies and conducted general inquiries on subjects including the social consequences of technological change, effect of phosphate mining on wildlife on Christmas Island, proposals for a sand mine at Shelburne Bay and policies for the use of Commonwealth land.",Legislative and General Purpose Standing,C045,"C047,C077"
C047,"Environment, Recreation and the Arts",22/09/1987, 9/10/1994,"The Standing Committee on Environment, Recreation and the Arts inquired into and reported on matters referred to it by the Senate, and monitored the administration of various government portfolios including art, administrative services, environment, sport and territories.",Legislative and General Purpose Standing,C046,"C048,C049"
C048,"Environment, Recreation, Communications and the Arts",10/10/1994,10/11/1998,"The Legislation Committee examined legislation referred to it by the Senate, scrutinised proposed expenditure and monitored the administration and annual reports of government portfolios including environment, sport, territories, tourism, communications and the arts. The committee pioneered the practice of raising matters found in petitions with relevant departments.",Legislation,"C047,C078",C050
C049,"Environment, Recreation, Communications and the Arts",10/10/1994,10/11/1998,"The References Committee examined matters referred to it by the Senate relating to government portfolios including environment, sport, territories, tourism, communications and the arts.",References,"C047,C078",C051
C050,"Environment, Communications, Information Technology and the Arts",11/11/1998,10/09/2006,"The Legislation Committee inquired into and reported on bills, estimates, annual reports and the performance of government departments and agencies in portfolios including environment, heritage, communications, information technology and the arts.",Legislation,C048,C052
C051,"Environment, Communications, Information Technology and the Arts",11/11/1998,10/09/2006,"The References Committee inquired into and reported to the Senate on policy issues relating to portfolio areas including environment, heritage, communications, information technology and the arts.",References,C049,C052
C052,"Environment, Communications, Information Technology and the Arts",11/09/2006,11/02/2008,"The committee inquired into and reported on policy matters, bills, estimates, annual reports and the performance of government departments and agencies in portfolios including environment, heritage, communications, information technology and the arts.",Legislative and General Purpose Standing,"C050,C051",C053
C053,"Environment, Communications and the Arts",13/02/2008,13/05/2009,"The committee inquired into and reported on policy matters, bills, estimates, annual reports and the performance of government departments and agencies in portfolios including environment, water, heritage, the arts, broadband, communications and the digital economy.",Legislative and General Purpose Standing,C052,"C054,C055"
C054,"Environment, Communications and the Arts",14/05/2009,28/09/2010,"The Legislation Committee examined bills referred to it by the Senate and scrutinised the proposed expenditure and performance of government departments and agencies, including their annual reports. Portfolios allocated to the committee included heritage, the arts, environment, water, climate change, energy, broadband, communications, and the digital economy.",Legislation,C053,C056
C055,"Environment, Communications and the Arts",14/05/2009,28/09/2010,"The References Committee inquired into matters referred to it by the Senate relating to portfolio areas that included heritage, the arts, environment, water, climate change, energy efficiency, energy, broadband, communications, and the digital economy.",References,C053,C057
C056,Environment and Communications,29/09/2010,,"The Legislation Committee examines bills referred to it by the Senate, scrutinises proposed annual and additional government expenditure and oversees the performance of government departments and agencies, including their annual reports. Portfolios allocated to the committee since 2010 include communications, the arts, environment and energy.",Legislation,C054,""
C057,Environment and Communications,29/09/2010,,"The References Committee inquires into and reports upon various general matters referred to it by the Senate. Portfolios allocated to the committee since 2010 include communications, the arts, environment and energy.",References,C055,""
C058,Finance and Government Operations,11/06/1970,11/11/1975,"The Standing Committee reported on death duties and Aboriginal enterprises and was not re-established following the change of government in December 1975. In early 1977, difficulties in identifying an appropriate standing committee to refer an inquiry into public service computer use led to the re-establishment of the committee in March 1977.",Legislative and General Purpose Standing,"",C059
C059,Finance and Government Operations,24/03/1977,5/06/1987,Inquiries of the Standing Committee on Finance and Government Operations focused on the accountability of Commonwealth bodies and statutory authorities including matters raised at estimates hearings and examinations of their annual reports.,Legislative and General Purpose Standing,C058,"C060,C158"
C060,Finance and Public Administration,22/09/1987,9/10/1994,"The Standing Committee on Finance and Public Administration inquired into and reported on matters referred to it by the Senate, and monitored the administration of various government portfolios including finance, prime minister and cabinet, Treasury and the parliament.",Legislative and General Purpose Standing,C059,"C061,C062"
C061,Finance and Public Administration,10/10/1994,10/09/2006,"The Finance and Public Administration Legislation Committee examined bills referred to it by the Senate, scrutinised proposed annual and additional expenditure and monitored the administration and annual reports of government portfolios including prime minister and cabinet, finance, administrative services, human services and the parliament.",Legislation,C060,C063
C062,Finance and Public Administration,10/10/1994,10/09/2006,"The Finance and Public Administration References Committee examined matters referred to it by the Senate relating to government portfolios including prime minister and cabinet, finance, administrative services, human services and the parliament.",References,C060,C063
C063,Finance and Public Administration,11/09/2006,13/05/2009,"The Standing Committee on Finance and Public Administration inquired into and reported on policy matters, bills, estimates, annual reports and the performance of government departments and agencies in portfolios including prime minister and cabinet, finance and administration, human services and the parliament.",Legislative and General Purpose Standing,"C061,C062","C064,C065"
C064,Finance and Public Administration,14/05/2009,,"The Legislation Committee examines bills referred to it by the Senate, scrutinises proposed annual and additional government expenditure and oversees the performance of government departments and agencies, including their annual reports. Portfolios allocated to the committee since 2009 include finance, prime minister and cabinet, indigenous affairs and the parliament.",Legislation,C063,""
C065,Finance and Public Administration,14/05/2009,,"The Finance and Public Administration References Committee inquires into and reports on various general matters referred to it by the Senate. Portfolios allocated to the committee since 2009 include finance, prime minister and cabinet, Indigenous affairs and the parliament.",References,C063,""
C066,Foreign Affairs and Defence,11/06/1970,5/06/1987,The Standing Committee on Foreign Affairs and Defence inquired into Australia's relations with its neighbours in the Asia–Pacific region and aspects of the operations of the Department of Foreign Affairs and Australian Army.,Legislative and General Purpose Standing,"",C067
C067,"Foreign Affairs, Defence and Trade",22/09/1987,9/10/1994,"The committee inquired into and reported on matters referred to it by the Senate, and monitored the administration of the government portfolios of foreign affairs, defence and trade.",Legislative and General Purpose Standing,"C066,C076","C068,C069"
C068,"Foreign Affairs, Defence and Trade",10/10/1994,10/09/2006,"The Legislation Committee examined legislation referred to it by the Senate, scrutinised proposed annual and additional expenditure and monitored the administration and annual reports of government portfolios including foreign affairs, trade, defence and veterans' affairs.",Legislation,C067,C070
C069,"Foreign Affairs, Defence and Trade",10/10/1994,10/09/2006,"The References Committee examined matters referred to it by the Senate relating to government portfolios including foreign affairs, trade, defence and veterans' affairs.",References,C067,C070
C070,"Foreign Affairs, Defence and Trade",11/09/2006,13/05/2009,"The committee examined matters referred to it by the Senate relating to government portfolios including foreign affairs, trade, defence and veterans' affairs.",Legislative and General Purpose Standing,"C068,C069","C071,C072"
C071,"Foreign Affairs, Defence and Trade",14/05/2009,,"The Legislation Committee examines bills referred to it by the Senate, scrutinises proposed annual and additional government expenditure and oversees the performance of government departments and agencies, including their annual reports. Portfolios allocated to the committee since 2009 include defence, veterans' affairs, foreign affairs and trade.",Legislation,C070,""
C072,"Foreign Affairs, Defence and Trade",14/05/2009,,"The References Committee inquires into and reports on various general matters referred to it by the Senate. Portfolios allocated to the committee since 2009 include defence, veterans' affairs, foreign affairs and trade.",References,C070,""
C073,Primary and Secondary Industry and Trade,11/06/1970,19/04/1972,"The Standing Committee on Primary and Secondary Industry and Trade was one of the first two committees to be established after the adoption of the Senate standing committee system in 1970. Its first inquiry, into Tasmanian shipping services, echoed the subject matter of the first inquiry undertaken by a Senate committee in 1901.",Legislative and General Purpose Standing,"",C074
C074,Industry and Trade,20/04/1972,11/11/1975,"The Standing Committee on Industry and Trade inquired into steel and leather manufacturing, ownership of Ansett Transport Industries, regulation of prices and trade relations with New Zealand and Indonesia.",Legislative and General Purpose Standing,C073,C075
C075,Trade and Commerce,2/03/1976,19/09/1983,"The Standing Committee on Trade and Commerce inquired into the Australian Trade Commissioner, the effect of economic changes in the manufacturing sector and the fishing, forestry, wine and grape industries.",Legislative and General Purpose Standing,C074,C076
C076,Industry and Trade,20/09/1983,5/06/1987,The Standing Committee on Industry and Trade focused on trade relations with China and New Zealand and the need for revitalisation of Australia's manufacturing industry.,Legislative and General Purpose Standing,C075,"C067,C077"
C077,"Industry, Science and Technology",22/09/1987,3/05/1993,"The committee inquired into and reported on matters referred to it by the Senate relating to industry, science and technology. The committee also monitored the annual reports of relevant government agencies and statutory authorities.",Legislative and General Purpose Standing,"C046,C076",C078
C078,"Industry, Science, Technology, Transport, Communications and Infrastructure",13/05/1993, 9/10/1994,"The committee inquired into and reported on matters referred to it by the Senate, and monitored the administration of various government portfolios including industry, science, technology, tourism, transport, communications and infrastructure.",Legislative and General Purpose Standing,"C077,C080","C048,C049"
C079,Infrastructure,22/09/1987,23/11/1987,The committee commenced an inquiry into tendering procedures for a coast watch contract but did not report during its two months of operation. The committee oversaw the work of the Joint Sub-Committee on Variations to the Plan of Layout of the City of Canberra and its Environs in conjunction with its House of Representatives counterpart.,Legislative and General Purpose Standing,"",C080
C080,"Transport, Communications and Infrastructure",24/11/1987,3/05/1993,"The committee considered matters referred to it by the Senate on transport, communications and administrative services. It also sat as a joint committee with its House of Representatives counterpart to consider the plan of layout of the City of Canberra and the Canberra leasehold system.",Legislative and General Purpose Standing,C079,C078
C081,Rural and Regional Affairs,4/09/1991,9/10/1994,"The Standing Committee on Community Affairs inquired into and reported on matters referred to it by the Senate, and monitored the administration of various government portfolios including primary industries, energy and regional development.",Legislative and General Purpose Standing,C159,"C082,C083"
C082,Rural and Regional Affairs and Transport,10/10/1994,10/09/2006,"The Rural and Regional Affairs and Transport Legislation Committee examined legislation referred to it by the Senate, scrutinised proposed annual and additional expenditure and monitored the administration and annual reports of government portfolios including agriculture, fisheries, forestry, energy, housing, regional development and transport.",Legislation,"C078,C081",C084
C083,Rural and Regional Affairs and Transport,10/10/1994,10/09/2006,"The Rural and Regional Affairs and Transport References Committee examined matters referred to it by the Senate relating to government portfolios including agriculture, fisheries, forestry, energy, housing, regional development and transport.",References,"C078,C081",C084
C084,Rural and Regional Affairs and Transport,11/09/2006,13/05/2009,"The Rural and Regional Affairs and Transport Committee examined matters referred to it by the Senate relating to government portfolios including agriculture, fisheries, forestry, infrastructure, transport, regional development and local government.",Legislative and General Purpose Standing,"C082,C083","C085,C086"
C085,Rural and Regional Affairs and Transport,14/05/2009,28/09/2010,"The Legislation Committee examined bills referred to it by the Senate and scrutinised the proposed expenditure and performance of government departments and agencies, including their annual reports. Portfolios allocated to the committee included agriculture, fisheries, forestry, infrastructure, transport, regional development and local government.",Legislation,C084,C087
C086,Rural and Regional Affairs and Transport,14/05/2009,28/09/2010,"The References Committee inquired into and reported upon various general matters referred to it by the Senate. Portfolios allocated to the committee included agriculture, fisheries, forestry, infrastructure, transport, regional development and local government.",References,C084,C088
C087,Rural Affairs and Transport,29/09/2010,7/02/2012,"The Legislation Committee examined bills referred to it by the Senate, scrutinised proposed annual and additional government expenditure and oversaw the performance of government departments and agencies, including their annual reports. Portfolios allocated to the committee included agriculture, fisheries, forestry, infrastructure and transport.",Legislation,C085,C089
C088,Rural Affairs and Transport,29/09/2010,7/02/2012,"The References Committee inquired into and reported upon various general matters referred to it by the Senate. Portfolios allocated to the committee included agriculture, fisheries, forestry, infrastructure and transport.",References,C086,C090
C089,Rural and Regional Affairs and Transport,8/02/2012,,"The Legislation Committee examines bills referred to it by the Senate and scrutinises proposed expenditure and performance of government departments and agencies, including their annual reports. Portfolios allocated to the committee since 2012 include agriculture, fisheries, forestry, water resources, infrastructure, transport, regional development and cities, local government, the arts and sport.",Legislation,C087,""
C090,Rural and Regional Affairs and Transport,8/02/2012,,"The Rural and Regional Affairs and Transport References Committee inquires into and reports upon various general matters referred to it by the Senate. Portfolios allocated to the committee since 2012 include agriculture, fisheries, forestry, water resources, infrastructure, transport, regional development and cities, local government, the arts and sport.",References,C088,""
C091,Constitutional and Legal Affairs,11/06/1970,5/06/1987,"The standing committee inquired into proposed legislation and policy in the areas of family, constitutional, criminal and administrative law. The committee also considered parliamentary matters including the Senate's right to amend appropriation measures and proposals for a committee to scrutinise bills for individual rights violations.",Legislative and General Purpose Standing,"",C092
C092,Legal and Constitutional Affairs,22/09/1987,9/10/1994,"The Standing Committee on Legal and Constitutional Affairs inquired into and reported on matters referred to it by the Senate, and monitored the administration of various government portfolios including Attorney-General, immigration and ethnic affairs.",Legislative and General Purpose Standing,C091,"C093,C094"
C093,Legal and Constitutional Affairs,10/10/1994,10/09/2006,"The Legal and Constitutional Affairs Legislation Committee examined legislation referred to it by the Senate, scrutinised proposed annual and additional expenditure and monitored the administration and annual reports of government portfolios including Attorney-General, immigration and ethnic affairs.",Legislation,C092,C095
C094,Legal and Constitutional Affairs,10/10/1994,10/09/2006,"The Legal and Constitutional Affairs References Committee examined matters referred to it by the Senate relating to government portfolios including Attorney-General, immigration and ethnic affairs.",References,C092,C095
C095,Legal and Constitutional Affairs,11/09/2006,13/05/2009,"The Legal and Constitutional Affairs Committee examined matters referred to it by the Senate relating to government portfolios including Attorney-General, immigration and multicultural affairs.",Legislative and General Purpose Standing,"C093,C094","C096,C097"
C096,Legal and Constitutional Affairs,14/05/2009,,"The Legislation Committee examines bills referred to it by the Senate, scrutinises proposed government expenditure and oversees the performance of government departments and agencies, including their annual reports. Portfolios allocated to the committee since 2009 include Attorney-General, immigration, citizenship, border protection and home affairs.",Legislation,C095,""
C097,Legal and Constitutional Affairs,14/05/2009,,"The Legal and Constitutional Affairs References Committee inquires into and reports upon various general matters referred to it by the Senate. Portfolios allocated to the committee since 2009 include Attorney-General, immigration, citizenship, border protection and home affairs.",References,C095,""
C098,National Development and Ownership and Control of Australian Resources,10/04/1975,11/11/1975,"While senators were appointed to the Standing Committee on National Development and Ownership and Control of Australian Resources in May 1975, the committee received no references from the Senate during its seven months of operation.",Legislative and General Purpose Standing,"",C099
C099,National Resources,2/03/1976,5/06/1987,"The standing committee inquired into national development issues such as the management of water resources, alternatives to petroleum-based fuels including solar energy, the aluminium industry and natural resources in Antarctica. The committee also considered agricultural issues including research and extension services, quarantine and plant variety rights.",Legislative and General Purpose Standing,C098,""
C100,Estimates Committee A,11/06/1970,9/10/1994,"Estimates committees examined government annual and additional expenditure proposals (estimates) and the operations and activities of government departments. The portfolios covered by each estimates committee changed frequently. From 10 October 1994, the estimates committees were restructured into legislation committees in eight subject areas.",Estimates,"",""
C101,Estimates Committee B,11/06/1970,9/10/1994,"Estimates committees examined annual and additional government expenditure proposals (estimates) and the operations and activities of government departments. The portfolios covered by each estimates committee changed frequently. From 10 October 1994, the estimates committees were restructured into legislation committees in eight subject areas.",Estimates,"",""
C102,Estimates Committee C,11/06/1970,9/10/1994,"Estimates committees examined annual and additional government expenditure proposals (estimates) and the operations and activities of government departments. The portfolios covered by each estimates committee changed frequently. From 10 October 1994, the estimates committees were restructured into legislation committees in eight subject areas.",Estimates,"",""
C103,Estimates Committee D,11/06/1970,9/10/1994,"Estimates committees examined annual and additional government expenditure proposals (estimates) and the operations and activities of government departments. The portfolios covered by each estimates committee changed frequently. From 10 October 1994, the estimates committees were restructured into legislation committees in eight subject areas.",Estimates,"",""
C104,Estimates Committee E,11/06/1970,9/10/1994,"Estimates committees examined annual and additional government expenditure proposals (estimates) and the operations and activities of government departments. The portfolios covered by each estimates committee changed frequently. From 10 October 1994, the estimates committees were restructured into legislation committees in eight subject areas.",Estimates,"",""
C105,Estimates Committee F,14/03/1973,9/10/1994,"Estimates committees examined annual and additional government expenditure proposals (estimates) and the operations and activities of government departments. The portfolios covered by each estimates committee changed frequently. From 10 October 1994, the estimates committees were restructured into legislation committees in eight subject areas.",Estimates,"",""
C106,Estimates Committee G,3/10/1974,11/11/1975,Estimates committees examined annual and additional government expenditure proposals (estimates) and the operations and activities of government departments. The portfolios covered by each estimates committee changed frequently.,Estimates,"",C107
C107,Estimates Committee G,2/04/1981,4/02/1983,Estimates committees examined annual and additional government expenditure proposals (estimates) and the operations and activities of government departments. The portfolios covered by each estimates committee changed frequently.,Estimates,C106,""
C108,Estimates Committee H,2/04/1981,4/02/1983,Estimates committees examined annual and additional government expenditure proposals (estimates) and the operations and activities of government departments. The portfolios covered by each estimates committee changed frequently.,Estimates,"",""
C109,Steamship Communication between Tasmania and Australia,26/07/1901,25/09/1902,"The first select committee appointed by the Senate, examined whether the Commonwealth government should improve the steamship service between Tasmania and mainland Australia by establishing a daily, each way mail service to operate throughout the year.",Select,"",""
C110,Privilege—Case of Senator Lt. Col. Neild,20/04/1904,21/10/1904,"The committee was established to determine whether there was any interference, intimidation or any form of censure by two officers of the Commonwealth Military Forces that prevented Senator Neild from exercising his duties as Lieutenant-Colonel commanding a rifle regiment and in discharging his duties as a senator.",Select,"",""
C111,Old-age Pensions,19/05/1904,15/12/1904,"The committee was established in response to a resolution that the government should fund old-age pensions, using the manufacture and sale of tobacco products to raise the required funds. The committee lapsed at the prorogation of parliament without producing a report. Inquiries conducted by this and a similar committee in the House of Representatives resulted in a Royal Commission on Old-Age Pensions, commencing in February 1905.",Select,"",C113
C112,Retrenchment of Major Carroll,2/06/1904,14/09/1904,This committee was appointed to inquire into the reasons given for the retrenchment of Major Carroll from the Commonwealth Defence Forces and whether the major had been justly treated.,Select,"",""
C113,Tobacco Monopoly,31/08/1905,29/12/1905,"The committee looked into whether there was a monopoly in the tobacco industry, its effect on the industry and whether it would be advisable for the government to take over the manufacture, importation and sale of tobacco, either in full or in part. The committee was followed by a Royal Commission, which ran from December 1905 to June 1906.",Select,C111,""
C114,Press Cable Service,21/10/1909,4/12/1909,"The focus of this committee was on the manner in which the Press Cable Service supplied cables to Australian metropolitan and country papers, from within and outside the Commonwealth, including the terms of sale and distribution of the cables.",Select,"",""
C115,Case of Mr H. Chinn,27/08/1913,10/12/1913,"The select committee was established to inquire into the dismissal of Mr Henry Chinn, who was employed as a Supervising Engineer on the Transcontinental Railway project, working on the Kalgoorlie route.",Select,"",""
